OG	UID	NAME
OG0021497	O70220	Forkhead box protein Q1 
OG0021503	Q9NZL6	Ral guanine nucleotide dissociation stimulator-like 1 
OG0021500	Q0MQE1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6 
OG0021493	P30046	D-dopachrome decarboxylase 
OG0021492	F1QH17	Protein-methionine sulfoxide oxidase mical3a 
OG0021491	Q9VC56	Ubiquitin carboxyl-terminal hydrolase puf 
OG0021490	Q9VUI3	Echinoderm microtubule-associated protein-like CG42247
OG0021487	Q67FQ3	Low density lipoprotein receptor adapter protein 1-B 
OG0021489	Q86XX4	Extracellular matrix organizing protein FRAS1 
OG0021488	Q6AYJ4	Meiotic recombination protein REC8 homolog 
OG0021485	O00548	Delta-like protein 1 
OG0021478	A0A0N9E2K8	Matrix metallopeptidase-21 
OG0021476	O75445	Usherin 
OG0021475	Q8R3V6	CUE domain-containing protein 1
OG0021474	P78545	ETS-related transcription factor Elf-3 
OG0021473	Q8NDC4	MORN repeat-containing protein 4 
OG0021472	Q95SX7	Probable RNA-directed DNA polymerase from transposon BS 
OG0021471	P23398	Polyubiquitin [Cleaved into: Ubiquitin]
OG0021470	P10039	Tenascin 
OG0021468	O42665	Uncharacterized but2-like protein C27D7.11c
OG0021466	Q1MTM9	Uncharacterized transcriptional regulatory protein C1327.01c
OG0021467	O94312	PWWP domain-containing protein2
OG0021469	Q9UGM3	Deleted in malignant brain tumors 1 protein 
OG0021465	Q9QX74	SH3 and multiple ankyrin repeat domains protein 2 
OG0021464	O43062	Uncharacterized protein C4C3.09
OG0021462	Q9P3V6	Uncharacterized methyltransferase C1348.04 
OG0021463	Q10080	UPF0654 protein C11D3.01c
OG0021461	Q9Y7S1	UPF0321 protein C569.02c
OG0021460	C6Y4C5	Extender of the chronological lifespan protein 2
OG0021459	Q9P3E4	Uncharacterized GPI-anchored protein SPAC750.07c
OG0021458	P0CS85	Uncharacterized protein CPT2R1.03
OG0021455	O94549	UPF0619 GPI-anchored membrane protein C1322.10
OG0021457	G2TRN7	RecQ DNA helicase-like protein C212.06c
OG0021456	P34068	M-factor
OG0021452	Q10347	Uncharacterized protein C1F12.05
OG0021454	G2TRM1	UPF0768 protein C977.18
OG0021451	Q9P7D3	WHI2-like protein P4H10.16c
OG0021453	Q08989	Uncharacterized protein YPL277C
OG0021449	P06208	2-isopropylmalate synthase 
OG0021450	O13692	"1,3-beta-glucanosyltransferase gas5"
OG0021446	Q03213	High-osmolarity-induced transcription protein 1
OG0021447	O13297	mRNA-capping enzyme subunit beta 
OG0021448	P54005	Protein DIA1 
OG0021445	O94522	Chromatin structure-remodeling complex subunit rsc7 
OG0021444	P54786	Protein ZDS2
OG0021443	O94559	Nuclear bridge Ish domain protein les1 
OG0021442	Q9P7F9	Copper transport protein ctr5 
OG0021439	O14123	Probable Na
OG0021437	A6ZRG7	CCR4-NOT transcriptional complex subunit CAF120 
OG0021438	Q06689	Cell membrane protein YLR413W
OG0021441	Q05998	Thiamine transporter
OG0021440	Q99252	Protein ECM3 
OG0021436	Q03016	GLC7-interacting protein 3
OG0021435	Q02208	Topoisomerase 1-associated factor 2
OG0021434	O14066	Increased rDNA silencing protein 4 homolog
OG0021433	B5VMJ0	Probable secreted beta-glucosidase UTH1 
OG0021432	Q09921	Uncharacterized protein C1F7.10
OG0021431	Q9P7H9	Uncharacterized transcriptional regulatory protein C105.03c
OG0021430	Q02598	Uncharacterized protein YIL014C-A
OG0021429	P00425	"Cytochrome c oxidase subunit 5B, mitochondrial "
OG0021428	P53947	Vacuolar membrane protein YNL058C
OG0021426	P38717	Membrane-anchored lipid-binding protein SIP3 
OG0021427	O59852	Invertase 
OG0021425	Q12207	Non-classical export protein 2
OG0021424	P53252	Sphingolipid long chain base-responsive protein PIL1
OG0021423	Q04951	Probable family 17 glucosidase SCW10 
OG0021422	Q9UTR6	"Initiation-specific alpha-1,6-mannosyltransferase "
OG0021421	Q12753	Transcriptional activator HAA1
OG0021419	Q06251	Uncharacterized protein YLR177W
OG0021420	O13537	Putative uncharacterized protein YHR145C
OG0021418	Q06266	Protein TOS4 
OG0021416	Q03281	Inner nuclear membrane protein HEH2 
OG0021417	O13679	Uncharacterized protein C737.05
OG0021415	Q09885	Ceramide-binding protein svf1 
OG0021414	P38781	Chromatin structure-remodeling complex protein RSC30 
OG0021413	O74454	Protein sts5
OG0021412	Q08412	Ubiquitin-binding protein CUE5 
OG0021411	P08092	Negative regulator of sexual conjugation and meiosis 
OG0021410	Q06236	Mitochondrial inner membrane protein SHH4 
OG0021409	P21192	Metallothionein expression activator
OG0021408	Q9URU4	Putative cell agglutination protein pfl5 
OG0021406	Q12477	PHO85 cyclin-9
OG0021407	Q04210	Endoplasmic reticulum transmembrane protein 2
OG0021404	Q10495	Uncharacterized protein C26F1.08c
OG0021405	Q07651	SUR7 family protein FMP45
OG0021402	O59714	Uncharacterized membrane protein C3B8.06
OG0021400	Q6CIL8	Glucose transport transcription regulator RGT1 
OG0021401	P0CY12	Putative mating-type protein A2 
OG0021399	P33200	Transcription factor PDR3 
OG0021403	P11655	Guanine nucleotide-exchange factor SEC12 
OG0021398	Q9HDW5	UPF0644 protein PB2B4.06
OG0021392	Q9BTK6	PAXIP1-associated glutamate-rich protein 1 
OG0021394	G2TRS8	deleted
OG0021393	P0C0V2	UPF0320 protein YER188C-A
OG0021391	Q1LZF3	UPF0449 protein C19orf25 homolog
OG0021390	A0A1D5PRR9	Fanconi anemia group M protein 
OG0021397	P38163	Lethal
OG0021396	P31379	Outer spore wall protein LDS1 
OG0021395	P22191	Uncharacterized cox1 intron-1 45.6 kDa protein 
OG0021385	A3KMI0	ATP-dependent RNA helicase dhx29 
OG0021387	A5PF62	Protein THEMIS 
OG0021384	Q91XN4	BMP and activin membrane-bound inhibitor homolog 
OG0021380	Q27746	DNA 
OG0021381	Q9Y6V0	Protein piccolo 
OG0021378	Q9D4J3	"Discoidin, CUB and LCCL domain-containing protein 1"
OG0021375	Q5R4E9	Vasculin 
OG0021372	Q9HCD5	Nuclear receptor coactivator 5 
OG0021371	Q96HJ3	Coiled-coil domain-containing protein 34 
OG0021376	Q008X1	Putative defense protein
OG0021370	Q6QNK2	Adhesion G-protein coupled receptor D1 
OG0021365	Q6NWC9	G kinase-anchoring protein 1
OG0021366	Q7ZVR6	Myoneurin
OG0021363	A0NXQ8	Cis-3-hydroxy-L-proline dehydratase 
OG0021362	Q6P1E1	Zinc finger MIZ domain-containing protein 1 
OG0021361	Q6P1U3	Tudor domain-containing protein 3
OG0021360	Q9D7F2	Ly6/PLAUR domain-containing protein 6B
OG0021357	Q8TDB6	E3 ubiquitin-protein ligase DTX3L 
OG0021353	Q9HBI5	Centrosomal protein 15 
OG0021347	Q9UTL5	Transcription factor IIIA 
OG0021345	Q96CS4	Zinc finger protein 689
OG0021334	P22105	Tenascin-X 
OG0021336	Q96PE6	Zinc finger imprinted 3 
OG0021331	Q9HC57	WAP four-disulfide core domain protein 1 
OG0021332	Q3UV71	Protein O-mannosyl-transferase TMTC1 
OG0021329	K9NVA6	Dinoflagellate viral nucleoprotein 5 
OG0021330	Q23808	Aquaporin AQPcic
OG0021326	Q32LQ0	Glutamyl aminopeptidase 
OG0021327	Q6PEE2	CBP80/20-dependent translation initiation factor
OG0021325	P53804	E3 ubiquitin-protein ligase TTC3 
OG0021323	Q7DMP0	Calmodulin-2/4 
OG0021317	Q4LDE5	"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 "
OG0021321	Q7TN31	Angiogenic factor with G patch and FHA domains 1 
OG0021318	P90850	Uncharacterized peptidase C1-like protein F26E4.3
OG0021312	Q9R0W9	Neuronal acetylcholine receptor subunit alpha-6
OG0021309	Q9D5D8	Chromodomain Y-like protein 2 
OG0021310	Q5SNX7	Galactocerebrosidase 
OG0021302	P54830	Tyrosine-protein phosphatase non-receptor type 5 
OG0021299	O43247	Ciliary microtubule inner protein 4 
OG0021298	Q16534	Hepatic leukemia factor
OG0021294	Q5RGP9	Thyroid transcription factor 1-associated protein 26 homolog
OG0021295	Q7PHR1	Kinesin-like protein unc-104
OG0021293	Q93560	B lymphocyte-induced maturation protein 1 homolog
OG0021290	P24043	Laminin subunit alpha-2 
OG0021285	Q8BMG1	ATR-interacting protein 
OG0021287	Q9V8R9	Protein 4.1 homolog 
OG0021278	Q7SIG4	Diisopropyl-fluorophosphatase 
OG0021276	Q96BN8	Ubiquitin thioesterase otulin 
OG0021271	O59922	cAMP-dependent protein kinase regulatory subunit 
OG0021270	Q8BP74	L-seryl-tRNA
OG0021266	A8X6H4	Calcium/calmodulin-dependent protein kinase type 1 
OG0021263	Q8IZR5	CKLF-like MARVEL transmembrane domain-containing protein 4 
OG0021261	Q9P7V5	Protein transport protein sec72
OG0021260	Q54CX6	"Probable 3-hydroxyisobutyrate dehydrogenase, mitochondrial "
OG0021256	O49195	Vegetative storage protein 1
OG0021245	Q9H7T0	Cation channel sperm-associated auxiliary subunit beta 
OG0021240	P46393	Uncharacterized glycosyltransferase in aroQ 3'region 
OG0021230	Q23681	Receptor-type guanylate cyclase gcy-4 
OG0021225	P20825	Retrovirus-related Pol polyprotein from transposon 297 [Includes: Protease 
OG0021232	Q9LHN4	Probable 1-acyl-sn-glycerol-3-phosphate acyltransferase 5 
OG0021219	Q6ZTN6	Ankyrin repeat domain-containing protein 13D
OG0021222	A7TR90	Histone H2A.Z-specific chaperone CHZ1
OG0021214	Q47537	Taurine-binding periplasmic protein 
OG0021207	Q9Z0R4	Intersectin-1 
OG0021199	Q99315	Transposon Ty3-G Gag-Pol polyprotein 
OG0021188	Q9C999	Protein PIN-LIKES 2 
OG0021189	P97772	Metabotropic glutamate receptor 1 
OG0021184	Q04960	DnaJ protein homolog 
OG0021180	P16065	Speract receptor 
OG0021183	Q9UTC2	Uncharacterized protein C227.17c
OG0021185	Q9C5U0	Histidine kinase 4 
OG0021173	Q9FJL3	Peptidyl-prolyl cis-trans isomerase FKBP65 
OG0021165	Q5ZLC8	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C 
OG0021164	P90648	Myosin heavy chain kinase B 
OG0021163	Q9Y7K5	Uncharacterized WD repeat-containing protein C2A9.03
OG0021157	G5ECB2	Gamma-aminobutyric acid type B receptor subunit 2
OG0021156	Q6GPJ5	Leucine-rich repeat-containing protein 40
OG0021149	Q869W6	Probable myosin light chain kinase DDB_G0275057 
OG0021147	P87109	"Probable phospholipase C20G8.02, mitochondrial"
OG0021135	Q0P651	Protein ABHD18 
OG0021131	Q9Z2X3	26S proteasome non-ATPase regulatory subunit 10 
OG0021127	Q6TL19	Guanylate cyclase 2G 
OG0021123	Q94C27	F-box protein At1g70590
OG0021106	P42297	Universal stress protein YxiE 
OG0021119	F1NVK6	Transmembrane protein 237
OG0021104	Q11124	Uncharacterized protein C03F11.3
OG0021093	P48027	Sensor protein GacS 
OG0021101	Q88FY5	Maleamate amidohydrolase 
OG0021098	Q6ZV65	Protein FAM47E
OG0021092	P81065	Glutathione S-transferase 
OG0021096	P25371	Probable ATP-dependent permease
OG0021097	P35970	DNA ligase 
OG0021083	Q43207	70 kDa peptidyl-prolyl isomerase 
OG0021079	Q7XPY2	Plasma membrane ATPase 
OG0021065	E9Q7D5	Rho guanine nucleotide exchange factor 5
OG0021064	P0C6X4	Replicase polyprotein 1ab 
OG0021063	Q8INF0	Soluble guanylate cyclase 88E 
OG0021062	Q8NEM8	Cytosolic carboxypeptidase 3 
OG0021061	Q6EE31	T-complex protein 1 subunit theta 
OG0021056	Q69ZM6	Serine/threonine-protein kinase 36 
OG0021057	Q9NR19	"Acetyl-coenzyme A synthetase, cytoplasmic "
OG0021054	A2RU54	Homeobox protein HMX2 
OG0021052	Q32MH5	Atos homolog protein A
OG0021050	E5A7D9	Highly reducing polyketide synthase pks5 
OG0021048	P23074	Pro-Pol polyprotein 
OG0021047	Q5RBQ0	Guanine nucleotide-binding protein G
OG0021044	Q9QYM0	ATP-binding cassette sub-family C member 5 
OG0021043	Q8BNA6	Protocadherin Fat 3 
OG0021041	Q8TE73	Dynein axonemal heavy chain 5 
OG0021040	Q9NRC9	Otoraplin 
OG0021039	A3KGF7	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2 "
OG0021037	E9Q8T7	Dynein axonemal heavy chain 1 
OG0021038	F1QY75	Anaphase-promoting complex subunit 15 
OG0021034	Q8R4U0	Stabilin-2 
OG0021035	Q96RW7	Hemicentin-1 
OG0021033	Q54E21	Probable replication factor C subunit 2 
OG0021030	Q6ZS30	Neurobeachin-like protein 1 
OG0021029	P98194	Calcium-transporting ATPase type 2C member 1 
OG0021028	O46392	Collagen alpha-2
OG0021027	Q5U3U0	Phytanoyl-CoA dioxygenase domain-containing protein 1 
OG0021026	Q5RBL0	Protein YIPF1 
OG0021025	Q5BLK4	Terminal uridylyltransferase 7 
OG0021021	D9IQ16	Galaxin
OG0021023	Q7ZXX2	Kinesin-like protein KIF19
OG0021018	Q9ULG1	Chromatin-remodeling ATPase INO80 
OG0021015	P48454	Serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform 
OG0021013	Q3SYW0	F-box only protein 15
OG0021010	Q7TMY8	E3 ubiquitin-protein ligase HUWE1 
OG0021009	Q90YR8	Small ribosomal subunit protein eS6 
OG0021004	F1RWC3	Cubilin 
OG0021007	O17580	Nucleolar complex protein 2 homolog 
OG0021003	Q91X83	S-adenosylmethionine synthase isoform type-1 
OG0021001	Q5R8Z3	Elongation factor 2 
OG0020999	Q8TGM7	Putative uncharacterized protein ART2 
OG0020996	Q5F364	Multidrug resistance-associated protein 1 
OG0020997	Q155Q3	Dixin 
OG0020992	Q5YD48	APOBEC1 complementation factor 
OG0020990	Q92903	Phosphatidate cytidylyltransferase 1 
OG0020987	Q8VD65	Phosphoinositide 3-kinase regulatory subunit 4 
OG0020986	O54946	DnaJ homolog subfamily B member 6 
OG0020995	O88322	Nidogen-2 
OG0020994	P49824	Myosin-7 
OG0020982	Q13615	Myotubularin-related protein 3 
OG0020981	Q32KH7	Arylsulfatase I 
OG0020980	Q61001	Laminin subunit alpha-5 
OG0020978	Q924H0	Neuropeptide FF receptor 2 
OG0020979	Q9XSI3	Large ribosomal subunit protein uL16 
OG0020977	Q9N3X8	Protein sidekick homolog 
OG0020974	Q7TN88	Polycystin-1-like protein 2 
OG0020975	O97580	"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial "
OG0020969	O95460	Matrilin-4
OG0020965	Q15643	Thyroid receptor-interacting protein 11 
OG0020967	Q9EQT3	Rho-related GTP-binding protein RhoU 
OG0020966	Q9H1A4	Anaphase-promoting complex subunit 1 
OG0020973	A0JP86	Laminin subunit gamma-1
OG0020972	Q6PCS4	Rho GTPase-activating protein 29 
OG0020963	Q15652	Probable JmjC domain-containing histone demethylation protein 2C 
OG0020962	Q13705	Activin receptor type-2B 
OG0020961	Q9DA15	Sperm microtubule associated protein 2-like 
OG0020959	A2VE15	Fatty acid desaturase 6 
OG0020955	B2VG45	3'-5' ssDNA/RNA exonuclease TatD 
OG0020953	Q5RDW9	Cleavage stimulation factor subunit 3 
OG0020951	O35885	Achaete-scute homolog 2 
OG0020950	P97360	Transcription factor ETV6 
OG0020949	Q5XJQ5	Exosome complex component RRP45 
OG0020948	P0DP91	Chimeric ERCC6-PGBD3 protein 
OG0020947	Q8BRK9	Alpha-mannosidase 2x 
OG0020946	Q6A078	Centrosomal protein of 290 kDa 
OG0020945	Q8N695	Sodium-coupled monocarboxylate transporter 1 
OG0020944	Q9R0M0	Cadherin EGF LAG seven-pass G-type receptor 2 
OG0020942	Q8BGI5	Peroxisome assembly protein 26 
OG0020943	P33151	Cadherin-5 
OG0020939	Q9EQH2	Endoplasmic reticulum aminopeptidase 1 
OG0020938	Q8BIY1	G patch domain-containing protein 3
OG0020936	Q17R14	Unconventional myosin-Id
OG0020931	P12960	Contactin-1 
OG0020929	Q9VPH7	Eukaryotic peptide chain release factor subunit 1 
OG0020928	Q9D9K3	Cell death regulator Aven
OG0020925	P21918	D
OG0020920	P70665	Sialate O-acetylesterase 
OG0020923	Q00552	Cystic fibrosis transmembrane conductance regulator 
OG0020924	B1AVY7	Kinesin-like protein KIF16B
OG0020919	Q9NR09	Baculoviral IAP repeat-containing protein 6 
OG0020910	Q9EQN5	DNA-binding protein SMUBP-2 
OG0020912	Q32M45	Anoctamin-4 
OG0020914	P82349	Beta-sarcoglycan 
OG0020898	Q8VHE6	Dynein axonemal heavy chain 5 
OG0020897	F6QV99	Outer mitochondrial transmembrane helix translocase 
OG0020894	Q5ICW4	Growth factor receptor-bound protein 14 
OG0020893	P01122	Ras-like GTP-binding protein RHO
OG0020882	Q9CYL5	Golgi-associated plant pathogenesis-related protein 1 
OG0020885	A5A4K9	Growth hormone secretagogue receptor type 1 
OG0020884	Q9P2U8	Vesicular glutamate transporter 2 
OG0020881	Q5U3W1	Protein O-mannose kinase 
OG0020887	P12226	Fibroblast growth factor 2 
OG0020877	O15033	Apoptosis-resistant E3 ubiquitin protein ligase 1 
OG0020876	O15033	Apoptosis-resistant E3 ubiquitin protein ligase 1 
OG0020875	O76190	Large ribosomal subunit protein uL18 
OG0020874	Q90243	Vitellogenin 
OG0020872	Q8MJU1	Caspase-3 
OG0020860	Q4V887	Zinc transporter ZIP6 
OG0020865	Q9Y2J2	Band 4.1-like protein 3 
OG0020859	O18783	Plasminogen 
OG0020856	P50136	"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial "
OG0020857	P11960	"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial "
OG0020864	Q8C0Q4	Serine/threonine-protein kinase Nek11 
OG0020862	Q9VUL9	Glycoprotein 3-alpha-L-fucosyltransferase A 
OG0020854	P97924	Kalirin 
OG0020853	D4ACP2	Small integral membrane protein 12
OG0020852	P24628	D
OG0020851	O70237	Zinc finger protein Gfi-1b 
OG0020849	A5PMU4	Ankyrin repeat and sterile alpha motif domain-containing protein 1B
OG0020844	B0UYT5	Major facilitator superfamily domain-containing protein 6-B 
OG0020847	Q8WYK1	Contactin-associated protein-like 5 
OG0020846	Q58CZ9	Tyrosine aminotransferase 
OG0020843	Q92993	Histone acetyltransferase KAT5 
OG0020840	P21845	Tryptase beta-2 
OG0020839	Q9NV72	Zinc finger protein 701
OG0020836	O15440	ATP-binding cassette sub-family C member 5 
OG0020835	G5ECX0	Latrophilin-like protein LAT-2
OG0020832	O88281	Multiple epidermal growth factor-like domains protein 6 
OG0020831	Q8BH01	Transmembrane and coiled-coil domain-containing protein 3
OG0020829	F4IF36	Protein FORGETTER 1 
OG0020824	Q14674	Separin 
OG0020822	P02640	Villin-1
OG0020825	P79782	Transcription factor 15 
OG0020817	O95833	Chloride intracellular channel protein 3
OG0020816	P02752	Riboflavin-binding protein 
OG0020812	P49453	Centromere protein C 
OG0020809	Q8MTI2	Putative surface protein bspA-like 
OG0020808	P10079	Fibropellin-1 
OG0020807	P42685	Tyrosine-protein kinase FRK 
OG0020806	C0HL12	Adhesion G protein-coupled receptor B1 
OG0020811	Q2TBK8	Snurportin-1 
OG0020803	Q8TES7	Fas-binding factor 1 
OG0020804	P11533	Dystrophin
OG0020796	Q5ZMI4	Major vault protein 
OG0020798	A7RHB3	Protein SPATA45 homolog
OG0020793	A2D5Y4	Homeobox protein Hox-A5
OG0020792	Q91VN6	Probable ATP-dependent RNA helicase DDX41 
OG0020791	Q54KM9	Ras-related protein Rab-11B
OG0020789	A2CG49	Kalirin 
OG0020785	Q6TCG5	Membrane progestin receptor delta 
OG0020783	Q9C098	Serine/threonine-protein kinase DCLK3 
OG0020782	Q5ZIV1	Myotubularin-related protein 2 
OG0020775	P24506	Synaptotagmin-B 
OG0020771	Q9Y4D8	Probable E3 ubiquitin-protein ligase HECTD4 
OG0020759	Q8TDX9	Polycystin-1-like protein 1 
OG0020768	Q39575	"Dynein gamma chain, flagellar outer arm"
OG0020758	Q9D5S7	Leucine-rich repeat and guanylate kinase domain-containing protein
OG0020754	Q9EQ31	Lysophosphatidic acid receptor 3 
OG0020751	Q8R5F3	ADP-ribose glycohydrolase OARD1 
OG0020755	Q99758	Phospholipid-transporting ATPase ABCA3 
OG0020749	O75581	Low-density lipoprotein receptor-related protein 6 
OG0020745	Q0V8T3	Contactin-associated protein like 5-4 
OG0020747	Q7Z5P9	Mucin-19 
OG0020744	Q80W87	Roundabout homolog 4
OG0020740	Q8C0W1	Ankyrin repeat and MYND domain-containing protein 1
OG0020737	Q9H8W5	E3 ubiquitin-protein ligase TRIM45 
OG0020739	Q8CEE6	PAS domain-containing serine/threonine-protein kinase 
OG0020738	O15164	Transcription intermediary factor 1-alpha 
OG0020734	Q4TVV3	Probable ATP-dependent RNA helicase DDX46 
OG0020735	P26686	Serine-arginine protein 55 
OG0020732	Q6P2X9	Monocarboxylate transporter 12 
OG0020731	G5ECX0	Latrophilin-like protein LAT-2
OG0020728	A2AF47	Dedicator of cytokinesis protein 11 
OG0020722	Q13813	"Spectrin alpha chain, non-erythrocytic 1 "
OG0020721	Q5SUV5	Myosin light chain kinase family member 4 
OG0020720	Q69ZN7	Myoferlin 
OG0020718	A6PWY4	WD repeat-containing protein 76
OG0020714	Q8K4P8	E3 ubiquitin-protein ligase HECW1 
OG0020715	Q8VI56	Low-density lipoprotein receptor-related protein 4 
OG0020716	Q49MI3	Ceramide kinase-like protein
OG0020711	O61303	"Opsin, ultraviolet-sensitive "
OG0020712	O97704	Sodium-dependent phosphate transport protein 2A 
OG0020709	Q6ZTR5	Cilia- and flagella-associated protein 47
OG0020708	A0A1L8H8C0	GAS2-like protein 2B 
OG0020693	Q21313	Laminin-like protein epi-1 
OG0020696	M2ZIX7	Short chain dehydrogenase MYCFIDRAFT_6125 
OG0020689	Q8HXX6	Ganglioside GM2 activator 
OG0020691	Q9WVM6	Tolloid-like protein 2 
OG0020686	P49338	Protein Wnt-4 
OG0020687	P62975	Ubiquitin
OG0020685	P22280	Ras-like protein 3 
OG0020682	A3KGS3	Ral GTPase-activating protein subunit alpha-2 
OG0020673	Q5NCH9	Metabotropic glutamate receptor 6 
OG0020671	P9WM78	Probable polyglutamine synthesis accessory protein MT0602
OG0020674	C3ZQF9	QRFP-like peptide receptor
OG0020669	Q28447	Sex-determining region Y protein 
OG0020681	F1SYB6	Cytochrome P450 monooxygenase 128 
OG0020663	P43646	Caltractin 
OG0020657	Q9JJ66	Cell division cycle protein 20 homolog 
OG0020659	Q8VBX6	Multiple PDZ domain protein 
OG0020656	B1AVY7	Kinesin-like protein KIF16B
OG0020654	P18856	Collagen EMF1-alpha 
OG0020651	B4GD14	Latrophilin Cirl
OG0020644	Q9GKT0	Caytaxin
OG0020649	O17319	Homeobox protein ceh-24
OG0020648	Q64487	Receptor-type tyrosine-protein phosphatase delta 
OG0020638	Q5RAN1	Rab GTPase-activating protein 1 
OG0020637	Q9Z0R0	Serine/threonine-protein kinase haspin 
OG0020636	Q28247	Collagen alpha-5
OG0020635	P49013	Fibropellin-3 
OG0020634	Q9UKP5	A disintegrin and metalloproteinase with thrombospondin motifs 6 
OG0020630	Q63315	Cadherin-22 
OG0020628	Q57997	Universal stress protein MJ0577 
OG0020625	O88563	ATP-binding cassette sub-family C member 3 
OG0020623	Q17239	5-hydroxytryptamine receptor 
OG0020620	Q03567	Uncharacterized transporter slc-17.2
OG0020618	Q8BX17	Gem-associated protein 5 
OG0020610	Q8TD57	Dynein axonemal heavy chain 3 
OG0020605	Q9Y6A2	Cholesterol 24-hydroxylase 
OG0020600	Q5RG82	Influenza virus NS1A-binding protein homolog A 
OG0020599	B8V7Q1	Protocadherin-like protein
OG0020598	B8V7Q1	Protocadherin-like protein
OG0020593	Q5ZIA5	Coatomer subunit beta 
OG0020591	Q5VXM1	CUB domain-containing protein 2
OG0020592	L7UZ85	Alpha-actinin 
OG0020595	O43861	Probable phospholipid-transporting ATPase IIB 
OG0020589	Q99N43	Kremen protein 1 
OG0020584	Q8R5F8	Epidermal growth factor receptor kinase substrate 8-like protein 1 
OG0020588	P23468	Receptor-type tyrosine-protein phosphatase delta 
OG0020586	P08861	Chymotrypsin-like elastase family member 3B 
OG0020585	P20905	5-hydroxytryptamine receptor 1 
OG0020587	O95671	Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein [Includes: dTTP/UTP pyrophosphatase 
OG0020583	Q3UQ28	Peroxidasin homolog 
OG0020579	P02599	Calmodulin 
OG0020576	P52293	Importin subunit alpha-1 
OG0020569	Q0VCM2	Transmembrane protein 187
OG0020574	P14065	Glycerol 2-dehydrogenase 
OG0020568	E9Q236	ATP-binding cassette sub-family C member 4 
OG0020573	Q8TD57	Dynein axonemal heavy chain 3 
OG0020572	P34913	Bifunctional epoxide hydrolase 2 [Includes: Cytosolic epoxide hydrolase 2 
OG0020562	F1M775	Protein diaphanous homolog 1 
OG0020561	Q9XV66	Protein unc-80 
OG0020558	Q07075	Glutamyl aminopeptidase 
OG0020560	Q6ZR08	Dynein axonemal heavy chain 12 
OG0020559	Q0VDD8	Dynein axonemal heavy chain 14 
OG0020554	O88420	Sodium channel protein type 8 subunit alpha 
OG0020552	P26255	Beta-3 adrenergic receptor 
OG0020553	Q9W0Y8	Sodium channel protein 60E 
OG0020547	O14545	TRAF-type zinc finger domain-containing protein 1 
OG0020546	P34729	Ras-like protein 1 
OG0020543	Q8IVF4	Dynein axonemal heavy chain 10 
OG0020542	P46871	Kinesin-II 95 kDa subunit 
OG0020539	Q9QYN8	Histamine H3 receptor 
OG0020541	Q9UPU3	VPS10 domain-containing receptor SorCS3
OG0020533	Q12553	Xanthine dehydrogenase 
OG0020534	Q6PBR7	Large ribosomal subunit protein mL63 
OG0020530	Q9JHE4	Galactosylceramide sulfotransferase 
OG0020528	P43378	Tyrosine-protein phosphatase non-receptor type 9 
OG0020529	Q9R1R4	Tudor domain-containing protein 7 
OG0020523	A2VDD2	Dynein light chain Tctex-type 5-B 
OG0020518	Q8BW96	Calcium/calmodulin-dependent protein kinase type 1D 
OG0020516	E9Q9R9	Disks large homolog 5
OG0020511	Q62261	"Spectrin beta chain, non-erythrocytic 1 "
OG0020510	Q96RV3	Pecanex-like protein 1 
OG0020507	Q7Z407	CUB and sushi domain-containing protein 3 
OG0020506	Q80T79	CUB and sushi domain-containing protein 3 
OG0020505	Q5BLF0	60S ribosomal export protein NMD3
OG0020503	Q90WY4	Alpha-2A adrenergic receptor 
OG0020501	P79750	Macrophage colony-stimulating factor 1 receptor 1 
OG0020489	Q80ZA4	Fibrocystin-L 
OG0020494	O54728	"Phospholipase B1, membrane-associated "
OG0020487	A1A5K6	TBC1 domain family member 24
OG0020488	A1L251	Cytosolic endo-beta-N-acetylglucosaminidase 
OG0020486	Q9NZM1	Myoferlin 
OG0020484	P82094	TATA element modulatory factor 
OG0020490	O95180	Voltage-dependent T-type calcium channel subunit alpha-1H 
OG0020479	C9D7C2	Voltage-dependent calcium channel type A subunit alpha-1 
OG0020478	Q9D937	Uncharacterized protein C11orf98 homolog
OG0020476	P08059	Glucose-6-phosphate isomerase 
OG0020474	Q3SZW1	Testis-specific serine/threonine-protein kinase 1 
OG0020473	Q8AWD2	Adenylyltransferase and sulfurtransferase MOCS3 
OG0020461	Q08431	Lactadherin 
OG0020460	Q6ZNM6	Sperm-associated microtubule inner protein 10 
OG0020458	P54357	Myosin-2 essential light chain 
OG0020459	Q06190	Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha 
OG0020466	Q1W675	3-hydroxy-3-methylglutaryl-coenzyme A reductase 
OG0020447	Q8NI35	InaD-like protein 
OG0020452	P27604	Adenosylhomocysteinase 
OG0020446	Q0P3Z8	UBX domain-containing protein 10
OG0020449	P30839	Aldehyde dehydrogenase family 3 member A2 
